measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,1,,,,,
14,77,69,48,100,,90
0,50,65,0,,,90
21,77,79,48,,,90
0,81,72,0,,,
17,60,70,0,,,90
0,62,53,53,,,90
21,77,81,0,,,90
0,81,48,0,90,,
17,65,60,53,,100,90
0,48,80,0,,,90
24,74,57,48,,,90
0,53,72,0,,,
21,81,0,0,,,90
0,65,60,81,90,,90
24,56,72,0,90,,90
0,81,0,0,,,
21,57,49,81,100,,90
0,49,64,0,,,90
28,62,0,0,,,90
0,64,72,69,,,
25,69,49,0,,,90
0,67,64,0,90,,90
28,73,0,61,,,90
0,74,69,0,90,,
12,0,60,72,,100,90
0,62,50,0,,,90
19,52,76,72,,,90
0,55,79,0,,,
16,69,60,0,,,90
0,48,64,67,90,,90
12,74,62,0,90,,90
0,65,67,0,,,
14,65,81,76,100,,90
0,74,65,0,,,90
0,77,55,48,,,90
21,81,48,0,,,
17,48,82,0,,,90
0,50,65,77,,,90
0,65,69,0,,,90
21,81,60,0,90,,
17,65,72,53,,100,90
0,48,68,0,,,90
0,50,81,72,,,90
24,77,60,0,,,
21,57,0,0,,,90
0,53,48,69,90,,90
0,68,60,0,,,90
24,69,0,0,,,
21,81,49,69,100,,90
0,49,64,0,,,90
0,74,0,0,,,90
28,64,48,57,,,
24,81,61,0,,,90
0,79,64,0,,,90
0,49,0,49,,,90
28,62,81,0,90,,
12,0,48,60,,100,90
0,62,50,0,,,90
0,64,64,72,,,90
19,79,79,0,,,
16,81,72,0,90,,90
0,48,76,55,,,90
0,62,50,0,90,,90
12,65,55,0,,,
